Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,190770507,2447.48886,3420416,43.8822027,408730,4095924,52.54862777,56439,0.724083748,6541,
United States of America,Americas,33741532,10193.73,189267,57.18,6963,603880,182.44,1682,0.51,26,Community transmission
India,South-East Asia,31144229,2256.82,269853,19.55,38164,414108,30.01,5344,0.39,499,Clusters of cases
Brazil,Americas,19376574,9115.84,286634,134.85,34126,542214,255.09,8726,4.11,948,Community transmission
Russia,Europe,5982766,4099.63,174293,119.43,24633,149138,102.2,5426,3.72,719,Clusters of cases
France,Europe,5749620,8840.22,50723,77.99,12523,110497,169.89,121,0.19,5,Community transmission
Turkey,Europe,5529719,6556.53,48164,57.11,7680,50554,59.94,325,0.39,66,Community transmission
The United Kingdom,Europe,5433943,8004.51,312694,460.62,47599,128708,189.59,283,0.42,25,Community transmission
Argentina,Americas,4756378,10523.94,108430,239.91,6935,101549,224.69,2768,6.12,115,Community transmission
Colombia,Americas,4639466,9117.93,127506,250.59,18206,116307,228.58,3481,6.84,476,Community transmission
Spain,Europe,4492066,9490.42,71798,151.69,0,82082,173.42,30,0.06,0,Community transmission
Italy,Europe,4287458,7188.72,16182,27.13,3126,127867,214.39,92,0.15,3,Clusters of cases
Germany,Europe,3745227,4503.28,8738,10.51,546,91363,109.86,130,0.16,1,Community transmission
Iran,Eastern Mediterranean,3548704,4225,154425,183.85,25441,87374,104.03,1333,1.59,213,Community transmission
Indonesia,South-East Asia,2911733,1064.53,344103,125.8,34257,74920,27.39,7565,2.77,1338,Community transmission
Poland,Europe,2881491,7591.23,626,1.65,67,75215,198.15,55,0.14,0,Community transmission
Mexico,Americas,2659137,2062.42,68637,53.23,4438,236331,183.3,1362,1.06,91,Community transmission
South Africa,Africa,2295095,3869.74,99496,167.76,11215,66859,112.73,2570,4.33,183,Community transmission
Ukraine,Europe,2244677,5132.6,3460,7.91,182,52731,120.57,127,0.29,5,Community transmission
Peru,Americas,2093754,6350.13,12977,39.36,1629,195146,591.86,759,2.3,99,Community transmission
Netherlands,Europe,1798570,10332.11,70366,404.23,10247,17776,102.12,10,0.06,1,Community transmission
Czechia,Europe,1671145,15627.03,1649,15.42,118,30338,283.69,7,0.07,0,Community transmission
Chile,Americas,1600883,8374.48,11260,58.9,1004,34539,180.68,559,2.92,25,Community transmission
Philippines,Western Pacific,1513396,1381.07,35340,32.25,5651,26786,24.44,771,0.7,72,Community transmission
Iraq,Eastern Mediterranean,1501595,3733.22,63084,156.84,9883,17892,44.48,300,0.75,62,Community transmission
Canada,Americas,1423177,3770.79,2646,7.01,259,26499,70.21,63,0.17,7,Community transmission
Bangladesh,South-East Asia,1117310,678.43,82353,50.01,13321,18125,11.01,1486,0.9,231,Community transmission
Belgium,Europe,1103413,9576.21,5195,45.09,0,25209,218.78,4,0.03,0,Community transmission
Sweden,Europe,1094287,10595.76,1515,14.67,0,14646,141.81,1,0.01,0,Community transmission
Romania,Europe,1081678,5596.19,403,2.08,46,34254,177.22,20,0.1,1,Community transmission
Pakistan,Eastern Mediterranean,991727,448.96,16635,7.53,2452,22811,10.33,214,0.1,30,Community transmission
Portugal,Europe,930685,9039.37,22711,220.58,3261,17207,167.12,51,0.5,8,Clusters of cases
Malaysia,Western Pacific,927533,2865.76,82663,255.4,10972,7148,22.08,888,2.74,129,Community transmission
Israel,Europe,852176,9845.44,5127,59.23,351,6450,74.52,9,0.1,0,Community transmission
Japan,Western Pacific,844014,667.33,21734,17.18,2477,15060,11.91,101,0.08,12,Clusters of cases
Hungary,Europe,808725,8278.04,186,1.9,0,30015,307.23,8,0.08,0,Community transmission
Jordan,Eastern Mediterranean,761225,7460.7,3535,34.65,0,9896,96.99,53,0.52,0,Community transmission
Serbia,Europe,718590,10374.2,1041,15.03,125,7083,102.26,11,0.16,3,Community transmission
Switzerland,Europe,704818,8143.84,2078,24.01,0,10317,119.21,1,0.01,0,Community transmission
Nepal,South-East Asia,668751,2295.21,11612,39.85,1642,9582,32.89,182,0.62,32,Community transmission
United Arab Emirates,Eastern Mediterranean,662486,6698.27,10724,108.43,1508,1900,19.21,30,0.3,2,Community transmission
Austria,Europe,649359,7295.3,2134,23.97,325,10521,118.2,6,0.07,0,Community transmission
Morocco,Eastern Mediterranean,557632,1510.77,14513,39.32,0,9450,25.6,66,0.18,0,Community transmission
Lebanon,Eastern Mediterranean,550942,8071.88,2981,43.67,0,7885,115.52,8,0.12,0,Community transmission
Tunisia,Eastern Mediterranean,546233,4621.8,44310,374.92,0,17527,148.3,1033,8.74,0,Community transmission
Kazakhstan,Europe,536089,2855.07,15753,83.9,0,8173,43.53,0,0,0,Clusters of cases
Saudi Arabia,Eastern Mediterranean,510869,1467.43,8430,24.21,1293,8089,23.23,97,0.28,14,Community transmission
Ecuador,Americas,476065,2698.31,7651,43.37,0,21953,124.43,123,0.7,0,Community transmission
Bolivia,Americas,462154,3959.16,7913,67.79,440,17458,149.56,239,2.05,15,Community transmission
Greece,Europe,457312,4266.54,18503,172.63,1558,12850,119.89,58,0.54,10,Community transmission
Paraguay,Americas,444992,6238.9,7273,101.97,565,14288,200.32,370,5.19,58,Community transmission
Belarus,Europe,434362,4596.75,6456,68.32,953,3326,35.2,69,0.73,10,Community transmission
Bulgaria,Europe,422965,6084.53,503,7.24,35,18174,261.44,34,0.49,5,Clusters of cases
Panama,Americas,422678,9796.08,7198,166.82,721,6703,155.35,71,1.65,6,Community transmission
Thailand,South-East Asia,415170,594.8,70143,100.49,11784,3422,4.9,631,0.9,81,Clusters of cases
Slovakia,Europe,392104,7184.19,179,3.28,4,12527,229.52,6,0.11,3,Clusters of cases
Costa Rica,Americas,391067,7676.83,8352,163.95,0,4880,95.8,86,1.69,0,Community transmission
Georgia,Europe,388329,9734.57,10518,263.66,848,5566,139.53,98,2.46,15,Community transmission
Kuwait,Eastern Mediterranean,385762,9033.03,8398,196.65,0,2221,52.01,85,1.99,0,Community transmission
Uruguay,Americas,378875,10906.86,2296,66.1,142,5883,169.36,68,1.96,4,Community transmission
Croatia,Europe,361613,8910.75,772,19.02,18,8240,203.05,11,0.27,2,Community transmission
Palestine,Eastern Mediterranean,344521,6753.44,456,8.94,0,3855,75.57,5,0.1,0,Community transmission
Azerbaijan,Europe,338438,3337.92,1184,11.68,255,4992,49.23,8,0.08,1,Clusters of cases
Dominican Republic,Americas,337738,3113.39,3194,29.44,163,3916,36.1,23,0.21,0,Community transmission
Guatemala,Americas,334375,1866.39,15218,84.94,548,9927,55.41,206,1.15,13,Community transmission
Denmark,Europe,306100,5256.95,6877,118.11,641,2542,43.66,3,0.05,0,Community transmission
Venezuela,Americas,292779,1029.61,7837,27.56,1063,3377,11.88,87,0.31,15,Community transmission
Oman,Eastern Mediterranean,289042,5660.14,2970,58.16,0,3498,68.5,63,1.23,0,Community transmission
Cuba,Americas,288392,2546.14,43478,383.86,6505,1966,17.36,387,3.42,61,Community transmission
Sri Lanka,South-East Asia,286419,1337.58,10313,48.16,1487,3770,17.61,294,1.37,48,Clusters of cases
Ireland,Europe,284510,5730.96,6692,134.8,1179,5018,101.08,12,0.24,0,Community transmission
Egypt,Eastern Mediterranean,283703,277.23,491,0.48,0,16446,16.07,43,0.04,0,Clusters of cases
Lithuania,Europe,279813,10014.46,596,21.33,68,4404,157.62,4,0.14,0,Community transmission
Honduras,Americas,279257,2819.47,4779,48.25,0,7427,74.99,168,1.7,0,Community transmission
Ethiopia,Africa,277696,241.55,625,0.54,81,4357,3.79,14,0.01,3,Community transmission
Bahrain,Eastern Mediterranean,267882,15743.18,558,32.79,0,1380,81.1,2,0.12,0,Community transmission
Slovenia,Europe,258190,12319.04,379,18.08,21,4760,227.11,0,0,0,Clusters of cases
Republic of Moldova,Europe,257946,6394.36,479,11.87,43,6226,154.34,17,0.42,2,Community transmission
Myanmar,South-East Asia,234710,431.37,37483,68.89,5189,5281,9.71,1354,2.49,281,Clusters of cases
Armenia,Europe,227522,7678.17,1063,35.87,92,4569,154.19,22,0.74,3,Community transmission
Libya,Eastern Mediterranean,224920,3273.33,18151,264.16,3425,3299,48.01,56,0.81,18,Community transmission
Qatar,Eastern Mediterranean,224278,7784.58,774,26.87,0,599,20.79,0,0,0,Community transmission
